model,protein
X-1156,7670
X-1156,12706
X-1156,4967
X-1156,8238
X-1156,9703
X-1156,3217
X-1156,9665
X-1156,9670
X-1156,9671
X-1156,10219
X-1156,13916
X-1156,7949
X-1156,916
X-1156,4306
X-1156,9561
X-1156,473
X-1156,967
X-1156,11669
X-1156,853
X-1156,9635
X-1156,16564
X-1156,7497
X-1156,11624
X-1156,16141
X-1156,5110
X-1156,8751
X-1156,5516
X-1156,10376
X-1167,16086
X-1167,16086
X-1167,13661
X-1167,12526
X-1167,8233
X-1167,10350
X-1167,12945
X-1167,2280
X-1167,5219
X-1167,15960
X-1167,7273
X-1167,11662
X-1167,10290
X-1167,2242
X-1167,8555
X-1167,6308
X-1167,15810
X-1167,11921
X-1167,16327
X-1167,15292
X-1167,186
X-1167,10967
X-1167,16068
X-1167,864
X-1167,15042
X-1167,6335
X-1167,7163
X-1167,12914
X-1167,4076
X-1167,7666
X-1167,7118
X-1167,5387
X-1167,15229
X-1167,1021
X-1167,4326
X-1167,15378
X-1167,3308
X-1167,11191
X-1167,848
X-1167,15080
X-1167,48
X-1167,12062
X-1167,12933
X-1167,10210
X-1167,4688
X-1167,15272
X-1167,16993
X-1167,7959
X-1167,12008
X-1167,9165
X-1167,15853
X-1167,15737
X-1167,1675
X-1167,4887
X-1167,2139
X-1167,9676
X-1167,16170
X-1167,15792
X-1167,15816
X-1167,12277
X-1167,4467
X-1167,16441
X-1167,6814
X-1167,13948
X-1167,1232
X-1167,6256
X-1167,4700
X-1167,2414
X-1167,8106
X-1167,8250
X-1167,12865
X-1167,14488
X-1167,10665
X-1167,10779
X-1167,9093
X-1167,12126
X-1167,12652
X-1167,16166
X-1167,15793
X-1167,723
X-1167,8232
X-1167,16586
X-1167,12375
X-1167,16177
X-1167,16199
X-1167,14758
X-1167,8229
X-1167,15123
X-1167,13425
X-1167,14608
X-1167,12445
X-1167,2010
X-1167,14775
X-1167,16191
X-1167,8230
X-1167,14718
X-1167,5539
X-1167,5673
X-1167,9981
X-1167,14136
X-1167,10289
X-1167,2391
X-1167,15850
X-1167,8234
X-1167,6423
X-1167,16860
X-1167,3186
X-1167,13227
X-1167,15394
X-1167,13324
X-1167,16278
X-1167,6145
X-1167,1513
X-1167,13736
X-1167,16374
X-1167,7903
X-1167,15186
X-1167,8223
X-1167,14523
X-1167,15369
X-1167,3245
X-1167,12621
X-1167,3502
X-1167,8236
X-1167,10617
X-1167,16426
X-1167,11633
X-1167,7670
X-1167,12706
X-1167,4967
X-1167,8238
X-1167,9703
X-1167,3217
X-1167,9666
X-1167,9700
X-1167,9670
X-1167,9671
X-1167,4390
X-1167,10219
X-1167,7924
X-1167,11521
X-1167,9561
X-1167,4067
X-1167,4066
X-1167,15228
X-1167,5080
X-1167,14360
X-1167,967
X-1167,11669
X-1167,853
X-1167,16564
X-1167,12294
X-1167,7497
X-1167,7856
X-1167,5110
X-1167,10376
X-1167,12615
X-1169,16086
X-1169,16086
X-1169,1579
X-1169,13661
X-1169,12526
X-1169,8363
X-1169,11123
X-1169,8233
X-1169,4559
X-1169,2280
X-1169,1233
X-1169,5219
X-1169,15960
X-1169,11662
X-1169,10290
X-1169,4804
X-1169,8555
X-1169,1333
X-1169,17097
X-1169,795
X-1169,15810
X-1169,11921
X-1169,216
X-1169,15292
X-1169,16322
X-1169,14355
X-1169,1338
X-1169,15042
X-1169,6335
X-1169,16957
X-1169,9697
X-1169,7163
X-1169,12914
X-1169,5658
X-1169,4076
X-1169,1049
X-1169,7666
X-1169,7118
X-1169,5387
X-1169,1400
X-1169,15330
X-1169,15229
X-1169,1021
X-1169,15794
X-1169,15378
X-1169,8308
X-1169,3308
X-1169,11191
X-1169,16452
X-1169,8080
X-1169,848
X-1169,11946
X-1169,10125
X-1169,15080
X-1169,12933
X-1169,14002
X-1169,15272
X-1169,1405
X-1169,11016
X-1169,7577
X-1169,1339
X-1169,5422
X-1169,12008
X-1169,9165
X-1169,15825
X-1169,11553
X-1169,6928
X-1169,15853
X-1169,2652
X-1169,10478
X-1169,15737
X-1169,320
X-1169,1675
X-1169,9597
X-1169,4806
X-1169,15149
X-1169,1250
X-1169,9676
X-1169,1278
X-1169,16170
X-1169,15792
X-1169,15816
X-1169,12277
X-1169,16441
X-1169,6814
X-1169,5806
X-1169,13948
X-1169,6256
X-1169,2414
X-1169,2872
X-1169,4805
X-1169,8106
X-1169,14488
X-1169,10665
X-1169,10779
X-1169,9093
X-1169,12126
X-1169,16166
X-1169,15793
X-1169,723
X-1169,8232
X-1169,16586
X-1169,12375
X-1169,16177
X-1169,16199
X-1169,15967
X-1169,14758
X-1169,8229
X-1169,15123
X-1169,13425
X-1169,2010
X-1169,14775
X-1169,16191
X-1169,14718
X-1169,5539
X-1169,5673
X-1169,9981
X-1169,14136
X-1169,10289
X-1169,2391
X-1169,15850
X-1169,8234
X-1169,6423
X-1169,16860
X-1169,3186
X-1169,13227
X-1169,15394
X-1169,13324
X-1169,16278
X-1169,6145
X-1169,1513
X-1169,13736
X-1169,16374
X-1169,7903
X-1169,15186
X-1169,8223
X-1169,14523
X-1169,15369
X-1169,3245
