model,protein
X-1095,1338
X-1095,15163
X-1095,9938
X-1095,14694
X-1095,15042
X-1095,6335
X-1095,12914
X-1095,4076
X-1095,8096
X-1095,1049
X-1095,15498
X-1095,13982
X-1095,12265
X-1095,1318
X-1095,8581
X-1095,703
X-1095,7666
X-1095,12164
X-1095,14367
X-1095,7118
X-1095,5387
X-1095,14800
X-1095,354
X-1095,552
X-1095,15260
X-1095,15200
X-1095,10605
X-1095,17159
X-1095,13555
X-1095,15330
X-1095,15229
X-1095,10759
X-1095,1021
X-1095,2582
X-1095,8613
X-1095,4326
X-1095,15378
X-1095,596
X-1095,3308
X-1095,11191
X-1095,16452
X-1095,5290
X-1095,848
X-1095,1587
X-1095,2047
X-1095,1348
X-1095,15080
X-1095,14298
X-1095,12062
X-1095,8241
X-1095,12933
X-1095,9286
X-1095,5074
X-1095,12704
X-1095,11026
X-1095,14002
X-1095,9810
X-1095,7899
X-1095,8298
X-1095,11034
X-1095,7414
X-1095,10210
X-1095,4688
X-1095,6556
X-1095,15272
X-1095,12021
X-1095,11016
X-1095,7117
X-1095,13356
X-1095,17083
X-1095,13026
X-1095,13680
X-1095,6362
X-1095,12784
X-1095,12360
X-1095,12008
X-1095,9165
X-1095,269
X-1095,15853
X-1095,15737
X-1095,12633
X-1095,1675
X-1095,2420
X-1095,4887
X-1095,2139
X-1095,10595
X-1095,6764
X-1095,9676
X-1095,449
X-1095,16170
X-1095,15792
X-1095,15816
X-1095,16545
X-1095,11212
X-1095,14979
X-1095,3452
X-1095,10465
X-1095,7517
X-1095,12277
X-1095,3419
X-1095,13496
X-1095,4467
X-1095,16441
X-1095,16081
X-1095,6814
X-1095,5806
X-1095,14753
X-1095,5172
X-1095,8838
X-1095,4740
X-1095,15814
X-1095,13948
X-1095,10553
X-1095,16688
X-1095,15607
X-1095,6256
X-1095,10532
X-1095,14798
X-1095,4700
X-1095,14597
X-1095,2414
X-1095,4836
X-1095,2872
X-1095,14445
X-1095,3569
X-1095,13887
X-1095,10089
X-1095,2314
X-1095,17015
X-1095,4032
X-1095,16887
X-1095,8106
X-1095,9302
X-1095,15774
X-1095,14018
X-1095,15067
X-1095,10694
X-1095,14488
X-1095,10665
X-1095,10779
X-1095,9093
X-1095,5383
X-1095,12126
X-1095,12652
X-1095,5493
X-1095,16166
X-1095,15793
X-1095,625
X-1095,723
X-1095,8232
X-1095,16586
X-1095,13574
X-1095,12375
X-1095,16177
